L,peak_before_first_iteration,peak_after_training,runtime,converged
12,0.14058732986450195,1.8748629093170166,89.4452702999115,True
14,0.16351032257080078,5.250833988189697,378.7643804550171,False
18,0.20935940742492676,7.352276086807251,214.12047243118286,True
22,0.25520753860473633,8.236438035964966,290.8229718208313,False
25,0.28960704803466797,4.923292636871338,71.9432966709137,True
28,0.32399463653564453,7.593480110168457,206.81219148635864,False
30,0.3469209671020508,12.203731536865234,315.24762511253357,False
35,0.40423583984375,12.649166822433472,302.64889645576477,False
