L,peak_before_first_iteration,peak_after_training,runtime
10,0.1176595687866211,1.3996992111206055,14.25252890586853
10,0.1176595687866211,1.3996992111206055,14.361343145370483
10,0.1176595687866211,1.3996992111206055,14.557706832885742
15,0.1749730110168457,2.0815327167510986,15.021177768707275
15,0.1749730110168457,2.0815327167510986,14.947317123413086
15,0.1749730110168457,2.0815327167510986,14.937792301177979
20,0.2322847843170166,2.733826160430908,15.532178401947021
20,0.2322847843170166,2.733826160430908,15.461424112319946
20,0.2322847843170166,2.733826160430908,15.571797609329224
25,0.28960704803466797,3.298039674758911,16.097262382507324
25,0.28960704803466797,3.298039674758911,16.3065984249115
25,0.28960704803466797,3.298039674758911,16.17459225654602
30,0.3469209671020508,4.172614574432373,16.765717029571533
30,0.3469209671020508,4.172614574432373,17.030574560165405
30,0.3469209671020508,4.172614574432373,16.878695249557495
40,0.4615464210510254,5.382665395736694,18.771684408187866
40,0.4615464210510254,5.382665395736694,19.000110149383545
40,0.4615464210510254,5.382665395736694,19.075716495513916
50,0.5761709213256836,3.9199752807617188,21.46273970603943
50,0.5761709213256836,6.78429651260376,21.897785902023315
50,0.5761709213256836,6.78429651260376,21.834508180618286
70,0.8054230213165283,9.669307708740234,27.03006863594055
70,0.8054230213165283,9.669307708740234,27.543705701828003
70,0.8054230213165283,9.669307708740234,27.49942970275879
